Haustyp;Zone;Typtag;Profiltag;Fheiz,TT;Fel,TT;FTWW,TT;;;;;;;;
EFH;7;WWB;EFH7WWB;0.0049812;5.58E-05;2.22E-05;;;;;;;;
EFH;7;WSH;EFH7WSH;0.0049676;0.000098707;0.00074082;;;;;;;;
EFH;7;WSB;EFH7WSB;0.0044643;0.00020074;3.96E-04;;;;;;;;
;;;;;;;;;;;;;;
EFH;8;ÜWH;EFH8ÜWH;1.33E-03;-9.10E-05;-1.57E-04;;;;;;;;
EFH;8;ÜWB;EFH8ÜWB;1.59E-03;-3.27E-05;-9.48E-05;;;;;;;;
EFH;8;ÜSH;EFH8ÜSH;2.20E-03;4.52E-05;2.69E-04;;;;;;;;
EFH;8;ÜSB;EFH8ÜSB;1.85E-03;1.17E-04;3.20E-04;;;;;;;;
EFH;8;SWX;EFH8SWX;0.00E+00;-1.60E-04;-2.32E-04;;;;;;;;
EFH;8;SSX;EFH8SSX;0.00E+00;-1.02E-04;1.10E-04;;;;;;;;
EFH;8;WWH;EFH8WWH;4.58E-03;-3.08E-05;4.28E-05;;;;;;;;
EFH;8;WWB;EFH8WWB;4.33E-03;2.85E-05;-5.56E-06;;;;;;;;
EFH;8;WSH;EFH8WSH;4.53E-03;7.02E-05;6.92E-04;;;;;;;;
EFH;8;WSB;EFH8WSB;3.94E-03;1.69E-04;3.57E-04;;;;;;;;
;;;;;;;;;;;;;;
EFH;9;ÜWH;EFH9ÜWH;1.58E-03;-6.70E-05;-1.39E-04;;;;;;;;
EFH;9;ÜWB;EFH9ÜWB;1.96E-03;-6.89E-06;-7.55E-05;;;;;;;;
EFH;9;ÜSH;EFH9ÜSH;2.13E-03;7.32E-05;2.97E-04;;;;;;;;
EFH;9;ÜSB;EFH9ÜSB;2.03E-03;1.47E-04;3.49E-04;;;;;;;;
EFH;9;SWX;EFH9SWX;0.00E+00;-1.38E-04;-2.16E-04;;;;;;;;
EFH;9;SSX;EFH9SSX;0.00E+00;-7.84E-05;1.34E-04;;;;;;;;
EFH;9;WWH;EFH9WWH;4.55E-03;-4.98E-06;6.54E-05;;;;;;;;
EFH;9;WWB;EFH9WWB;5.18E-03;5.61E-05;1.59E-05;;;;;;;;
EFH;9;WSH;EFH9WSH;5.00E-03;9.90E-05;7.30E-04;;;;;;;;
EFH;9;WSB;EFH9WSB;4.39E-03;2.01E-04;3.87E-04;;;;;;;;
;;;;;;;;;;;;;;
EFH;10;ÜWH;EFH10ÜWH;1.40E-03;-7.82E-05;-1.49E-04;;;;;;;;
EFH;10;ÜWB;EFH10ÜWB;1.60E-03;-1.89E-05;-8.59E-05;;;;;;;;
EFH;10;ÜSH;EFH10ÜSH;2.01E-03;6.02E-05;2.82E-04;;;;;;;;
EFH;10;ÜSB;EFH10ÜSB;1.80E-03;1.33E-04;3.33E-04;;;;;;;;
EFH;10;SWX;EFH10SWX;0.00E+00;-1.48E-04;-2.25E-04;;;;;;;;
EFH;10;SSX;EFH10SSX;0.00E+00;-8.95E-05;1.21E-04;;;;;;;;
EFH;10;WWH;EFH10WWH;4.62E-03;-1.70E-05;5.32E-05;;;;;;;;
EFH;10;WWB;EFH10WWB;4.59E-03;4.32E-05;4.34E-06;;;;;;;;
EFH;10;WSH;EFH10WSH;4.92E-03;8.56E-05;7.09E-04;;;;;;;;
EFH;10;WSB;EFH10WSB;4.12E-03;1.86E-04;3.71E-04;;;;;;;;
;;;;;;;;;;;;;;
EFH;11;ÜWH;EFH11ÜWH;1.04E-03;-1.00E-04;-1.71E-04;;;;;;;;
EFH;11;ÜWB;EFH11ÜWB;1.67E-03;-4.27E-05;-1.10E-04;;;;;;;;
EFH;11;ÜSH;EFH11ÜSH;1.86E-03;3.42E-05;2.47E-04;;;;;;;;
EFH;11;ÜSB;EFH11ÜSB;1.65E-03;1.05E-04;2.97E-04;;;;;;;;
EFH;11;SWX;EFH11SWX;0.00E+00;-1.68E-04;-2.45E-04;;;;;;;;
EFH;11;SSX;EFH11SSX;0.00E+00;-1.11E-04;9.10E-05;;;;;;;;
EFH;11;WWH;EFH11WWH;3.35E-03;-4.09E-05;2.53E-05;;;;;;;;
EFH;11;WWB;EFH11WWB;3.94E-03;1.77E-05;-2.22E-05;;;;;;;;
EFH;11;WSH;EFH11WSH;3.02E-03;5.90E-05;6.62E-04;;;;;;;;
EFH;11;WSB;EFH11WSB;3.59E-03;1.57E-04;3.34E-04;;;;;;;;
;;;;;;;;;;;;;;
EFH;12;ÜWH;EFH12ÜWH;2.63E-03;-4.48E-05;-1.11E-04;;;;;;;;
EFH;12;ÜWB;EFH12ÜWB;3.15E-03;1.69E-05;-4.46E-05;;;;;;;;
EFH;12;ÜSH;EFH12ÜSH;2.78E-03;9.91E-05;3.41E-04;;;;;;;;
EFH;12;ÜSB;EFH12ÜSB;2.86E-03;1.74E-04;3.96E-04;;;;;;;;
EFH;12;SWX;EFH12SWX;0.00E+00;-1.17E-04;-1.91E-04;;;;;;;;
EFH;12;SSX;EFH12SSX;0.00E+00;-5.66E-05;1.73E-04;;;;;;;;
EFH;12;WWH;EFH12WWH;6.07E-03;1.88E-05;1.02E-04;;;;;;;;
EFH;12;WWB;EFH12WWB;5.84E-03;8.15E-05;5.02E-05;;;;;;;;
EFH;12;WSH;EFH12WSH;5.67E-03;1.26E-04;7.90E-04;;;;;;;;
EFH;12;WSB;EFH12WSB;5.27E-03;2.30E-04;4.35E-04;;;;;;;;
;;;;;;;;;;;;;;
