;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-08-08T14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T19:00:00;836.5976280623574;930.6674474703309;8520.901767301784;4028.0626536335735;930.6674474703309;1861.3348949406618;10070.15663408393;1861.3348949406618;6390.676325476342;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T20:00:00;1554.0460517211238;1014.529788890734;15828.246823085516;7482.443952731337;1014.529788890734;2029.059577781468;18706.10988182834;2029.059577781468;11871.185117314139;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T21:00:00;1400.712373196979;983.8484444686353;14266.514912191447;6744.170685763231;983.8484444686353;1967.6968889372706;16860.426714408073;1967.6968889372706;10699.886184143586;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T22:00:00;1295.0383764342698;893.8498341638123;13190.205685904595;6235.369960609448;893.8498341638123;1787.6996683276245;15588.424901523616;1787.6996683276245;9892.654264428451;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-08T23:00:00;870.2147250190852;666.8078854402809;8863.298125194386;4189.922750091891;666.8078854402809;1333.6157708805617;10474.806875229728;1333.6157708805617;6647.47359389579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
