;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8
2021-01-07T08:00:00;4672.942867887129;5051.698241994075;2923.6703610616632;3730.4445345096437;2207.3780255422075;3874.222125199108;4594.5411760985435;4594.5411760985435
2021-01-07T09:00:00;5093.535980812619;5506.381628722747;3186.8183714465868;4066.207098641894;2406.0553946892214;4222.925541840506;5008.077662709468;5008.077662709468
2021-01-07T10:00:00;5027.3389841525595;5434.81917630096;3145.4016020577883;4013.3615511201183;2374.7856360134915;4168.043238261629;4942.991305891626;4942.991305891626
2021-01-07T11:00:00;4676.575629898961;5055.62544974893;2925.9432325525117;3733.344595044375;2209.094048884168;3877.233958932095;4598.112988362936;4598.112988362936
2021-01-07T12:00:00;4669.713746098836;5048.207390656428;2921.6500308475765;3727.8667029232174;2205.8526714604645;3871.544939658676;4591.366231863528;4591.366231863528
2021-01-07T13:00:00;4532.879710319812;4900.282565223588;2836.03853802561;3618.6310894483286;2141.2157922466085;3758.099202382827;4456.827969904695;4456.827969904695
2021-01-07T14:00:00;4538.934313672867;4906.827911481678;2839.8266571770237;3623.4645236728816;2144.0758311498766;3763.1189252711383;4462.780990345351;4462.780990345351
2021-01-07T15:00:00;4522.78870473139;4889.373654793437;2829.7250061065856;3610.5753657407417;2136.449060741162;3749.732997568974;4446.9062691702675;4446.9062691702675
2021-01-07T16:00:00;4805.336861207246;5194.82314683765;3006.5038998392592;3836.1356295531937;2269.917542893667;3983.986732356862;4724.71388973423;4724.71388973423
2021-01-07T17:00:00;4872.946598649683;5267.912846719658;3048.804563696721;3890.1089783940297;2301.854643980159;4040.040304609677;4791.189284654891;4791.189284654891
2021-01-07T18:00:00;5032.78812717031;5440.709987933242;3148.8109092940613;4017.711641922217;2377.359671026433;4172.560988861111;4948.349024288218;4948.349024288218
2021-01-07T19:00:00;4868.304736079007;5262.894747921788;3045.900339013969;3886.403345488539;2299.661947487653;4036.191850395304;4786.625302317052;4786.625302317052
2021-01-07T20:00:00;4651.9535762632095;5029.007708299362;2910.5382146700936;3713.6886291978626;2197.4632240108785;3856.8204191862937;4573.904038570935;4573.904038570935
2021-01-07T21:00:00;4159.512503548146;4496.6528793080215;2602.43785702172;3320.5693122675902;1964.8467265450856;3448.5496242702616;4089.7250427308895;4089.7250427308895
2021-01-07T22:00:00;3414.392650898956;3691.13893314571;2136.2466601209826;2725.734673699324;1612.8712721829083;2830.789060815345;3357.106660500783;3357.106660500783
2021-01-07T23:00:00;2450.096156869213;2648.6834524405317;1532.9255499390429;1955.929716202258;1157.3624095224322;2031.3145288035405;2408.9889383189216;2408.9889383189216
2021-01-08T00:00:00;2256.0712193434933;2438.932239230244;1411.5320351479497;1801.0381867711135;1065.7100192386363;1870.4532199764546;2218.2193120138313;2218.2193120138313
2021-01-08T01:00:00;2435.6530612627694;2633.069702658692;1523.8890922419616;1944.3996871414024;1150.5398626255808;2019.3401130794832;2394.788166053941;2394.788166053941
2021-01-08T02:00:00;2542.093954320884;2748.137934293435;1590.4848313804657;2029.3722320628654;1200.81980291122;2107.587642435252;2499.44321530288;2499.44321530288
2021-01-08T03:00:00;2837.432745115279;3067.414778121678;1775.2663049677478;2265.14335298089;1340.3302517484692;2352.445777891667;2789.8268715057097;2789.8268715057097
2021-01-08T04:00:00;3469.338829043152;3750.538656057542;2170.624249797449;2769.5986103544883;1638.8264335559516;2876.3435871769357;3411.1309627638443;3411.1309627638443
2021-01-08T05:00:00;4671.506457343826;5050.145406271164;2922.7716573859498;3729.2978374469863;2206.6995021451567;3873.0312325079144;4593.128865361269;4593.128865361269
2021-01-08T06:00:00;4799.949099246357;5188.998691372306;3003.132996234647;3831.8345396985846;2267.372502713302;3979.519871283591;4719.41652255552;4719.41652255552
2021-01-08T07:00:00;4850.691871355997;5243.854310177694;3034.8806856563547;3872.34286651403;2291.3420831846684;4021.5894569727466;4769.307942681644;4769.307942681644
2021-01-08T08:00:00;5040.580838860044;5449.134321175989;3153.6864921641513;4023.932620768706;2381.04074760486;4179.021734668883;4956.010991434872;4956.010991434872
2021-01-08T09:00:00;5008.073750477306;5413.992440378785;3133.3481286283695;3997.981973902561;2365.6852351153902;4152.070906336769;4924.049300416575;4924.049300416575
2021-01-08T10:00:00;4899.848931837212;5296.9956908954155;3065.6362597836337;3911.585308116492;2314.562614266305;4062.344368109116;4817.640255928825;4817.640255928825
2021-01-08T11:00:00;4544.054885209064;4912.363519974813;2843.0303905962696;3627.5523134535024;2146.4946574455917;3767.364265327729;4467.815649966356;4467.815649966356
2021-01-08T12:00:00;4532.756689856528;4900.149573600178;2835.961569123469;3618.5328813110023;2141.1576805437653;3757.9972091391296;4456.707013453901;4456.707013453901
2021-01-08T13:00:00;4393.610494462121;4749.725181407272;2748.9034520373793;3507.4514538717704;2075.428596594939;3642.634517132146;4319.895384826794;4319.895384826794
2021-01-08T14:00:00;4394.403350276335;4750.5823004511085;2749.399509684594;3508.0843964782625;2075.803121289805;3643.2918544085396;4320.674938266264;4320.674938266264
2021-01-08T15:00:00;4413.43188981745;4771.153157503128;2761.3048932177344;3523.2750190340544;2084.791713966567;3659.067949041973;4339.384220813562;4339.384220813562
2021-01-08T16:00:00;4675.867164322;5054.859561012251;2925.4999744456277;3732.779021782688;2208.7593879669143;3876.646587528077;4597.416409278358;4597.416409278358
2021-01-08T17:00:00;4750.990252718697;5136.071590415544;2972.5014365191723;3792.7503337477438;2244.245602805383;3938.92929446632;4671.279097668206;4671.279097668206
2021-01-08T18:00:00;4863.773992290514;5257.99677440096;3043.065636835389;3882.7864195211373;2297.521740649943;4032.4355220332322;4782.17057443291;4782.17057443291
2021-01-08T19:00:00;4750.792038765141;5135.857310654585;2972.3774221073677;3792.5920980961205;2244.151971631666;3938.764960147221;4671.084209308337;4671.084209308337
2021-01-08T20:00:00;4568.831629403226;4939.148490094633;2858.5321920717133;3647.3317699063577;2158.198554160126;3787.9060552150127;4492.176694949816;4492.176694949816
2021-01-08T21:00:00;4108.975257159605;4442.019444670792;2570.8187566874894;3280.2250581413796;1940.9742311383698;3406.650434907039;4040.035700056819;4040.035700056819
